[11657] [05-09-2012 16:30:17]:	Finished writing sequence region
[11657] [05-09-2012 16:33:03]:	going to write exon:   _DDB0306307_CDS_DDB0232428:1104197..1106228
[11657] [05-09-2012 16:33:03]:	going to write exon:   _DDB0202321_exon_DDB0232428:2062012..2062258
[11657] [05-09-2012 16:33:03]:	going to write exon:   _DDB0202322_CDS_DDB0189305:2057975..2058617
[11657] [05-09-2012 16:33:03]:	going to write exon:   _DDB0347024_exon_DDB0232428:2066041..2067379
[11657] [05-09-2012 16:33:03]:	going to write exon:   _DDB0202327_CDS_DDB0189305:2063592..2064171
[11657] [05-09-2012 16:33:03]:	going to write exon:   _DDB0349495_exon_DDB0232428:2078310..2078430
[11657] [05-09-2012 16:33:03]:	going to write exon:   _DDB0349495_exon_DDB0232428:2077658..2078129
[11657] [05-09-2012 16:33:03]:	going to write exon:   _DDB0349495_exon_DDB0232428:2078581..2078704
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0349495_exon_DDB0232428:2077108..2077540
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0233676_exon_DDB0232428:2078581..2078704
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0233676_exon_DDB0232428:2078353..2078430
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0233676_exon_DDB0232428:2077658..2078097
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0233676_exon_DDB0232428:2077108..2077540
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0347538_exon_DDB0232428:2079024..2080332
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0229435_CDS_DDB0189305:4295641..4296286
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0190835_CDS_DDB0189305:4297283..4297457
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0233701_CDS_DDB0232428:4311819..4311916
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0233701_CDS_DDB0232428:4312003..4312204
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0233701_CDS_DDB0232428:4312426..4313082
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0233701_CDS_DDB0232428:4313243..4313408
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0304837_CDS_DDB0232428:4316334..4316607
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0304837_CDS_DDB0232428:4316685..4319082
[11657] [05-09-2012 16:33:04]:	going to write exon:   _DDB0231311_CDS_DDB0189305:4317233..4319312
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0306620_exon_DDB0232428:4327218..4327489
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0306620_exon_DDB0232428:4327659..4327960
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0306620_exon_DDB0232428:4328077..4328630
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0306621_exon_DDB0232428:4331331..4331994
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0306621_exon_DDB0232428:4330664..4331187
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0306621_exon_DDB0232428:4329079..4330596
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0347736_exon_DDB0232428:4352623..4352878
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0307452_exon_DDB0232428:4358662..4358723
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0307452_exon_DDB0232428:4359216..4359839
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0220693_CDS_DDB0189305:4356206..4356937
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0220693_CDS_DDB0189305:4357331..4361208
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0220693_CDS_DDB0189305:4361302..4361431
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0347214_exon_DDB0232428:4125799..4127359
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0308175_CDS_DDB0232428:2179083..2179744
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0308175_CDS_DDB0232428:2179828..2182266
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0306554_exon_DDB0232428:2183250..2184185
[11657] [05-09-2012 16:33:05]:	going to write exon:   _DDB0306554_exon_DDB0232428:2182742..2183106
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0347385_exon_DDB0232428:2184409..2187469
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0238635_CDS_DDB0232428:2192068..2192201
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0238635_CDS_DDB0232428:2191611..2191937
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0190069_CDS_DDB0189305:2188730..2188961
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0347868_exon_DDB0232428:2194684..2195137
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0347566_exon_DDB0232428:2194684..2195137
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0307406_exon_DDB0232428:2194684..2195137
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0347209_exon_DDB0232428:251536..252874
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0252601_CDS_DDB0232428:2244140..2244209
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0252601_CDS_DDB0232428:2244361..2244632
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0252601_CDS_DDB0232428:2244704..2248372
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0252601_CDS_DDB0232428:2248455..2250348
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0252601_CDS_DDB0232428:2250414..2252535
[11657] [05-09-2012 16:33:06]:	going to write exon:   _DDB0307679_exon_DDB0232428:2221087..2222833
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0307678_exon_DDB0232428:2223008..2224754
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0252600_CDS_DDB0232428:2235138..2235207
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0252600_CDS_DDB0232428:2235357..2235628
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0252600_CDS_DDB0232428:2235763..2239374
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0252600_CDS_DDB0232428:2239462..2241373
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0252600_CDS_DDB0232428:2241442..2243566
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0307682_exon_DDB0232428:2632260..2632561
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0307682_exon_DDB0232428:2632806..2632988
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0307683_exon_DDB0232428:2634505..2636041
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0307683_exon_DDB0232428:2634082..2634404
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0307683_exon_DDB0232428:2633519..2633992
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0233003_CDS_DDB0232428:2644088..2644511
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0233003_CDS_DDB0232428:2644587..2645514
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0234094_CDS_DDB0232428:2650602..2650717
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0234094_CDS_DDB0232428:2649002..2649637
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0234094_CDS_DDB0232428:2645713..2648905
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0266378_CDS_DDB0232428:2654622..2654791
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0266378_CDS_DDB0232428:2653184..2654521
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0231991_CDS_DDB0189305:2664841..2665966
[11657] [05-09-2012 16:33:07]:	going to write exon:   _DDB0231991_CDS_DDB0189305:2663771..2664761
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0232260_CDS_DDB0189305:2673390..2676279
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0266540_CDS_DDB0232428:2681453..2681466
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0266540_CDS_DDB0232428:2681141..2681374
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0233743_CDS_DDB0232428:995735..996005
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0233743_CDS_DDB0232428:996112..996910
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0233075_CDS_DDB0232428:1013501..1014423
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0233075_CDS_DDB0232428:1012280..1013401
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0306502_exon_DDB0232428:1016993..1017331
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0306502_exon_DDB0232428:1017419..1017572
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0306502_exon_DDB0232428:1017700..1019162
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0349239_exon_DDB0232428:1253446..1253534
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0349239_exon_DDB0232428:1253673..1253806
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0349239_exon_DDB0232428:1253901..1254048
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0349239_exon_DDB0232428:1254156..1254288
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0349239_exon_DDB0232428:1254387..1254819
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0349239_exon_DDB0232428:1254931..1255263
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0349239_exon_DDB0232428:1255359..1257146
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0267135_CDS_DDB0232428:2111671..2112649
[11657] [05-09-2012 16:33:08]:	going to write exon:   _DDB0267135_CDS_DDB0232428:2111459..2111585
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0348278_exon_DDB0232428:2150421..2150525
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0348278_exon_DDB0232428:2151296..2151377
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0348278_exon_DDB0232428:2150614..2151070
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0348278_exon_DDB0232428:2151154..2151229
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0348278_exon_DDB0232428:2151471..2151800
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0348278_exon_DDB0232428:2151892..2153776
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0348278_exon_DDB0232428:2153855..2154061
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0233764_CDS_DDB0232428:2173239..2173749
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0233764_CDS_DDB0232428:2172870..2173089
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0233764_CDS_DDB0232428:2172466..2172643
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0233764_CDS_DDB0232428:2172197..2172299
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0233764_CDS_DDB0232428:2171883..2172076
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0233764_CDS_DDB0232428:2171308..2171721
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0233764_CDS_DDB0232428:2170093..2171224
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0305314_CDS_DDB0232428:2975146..2975425
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0305314_CDS_DDB0232428:2974658..2975066
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0305314_CDS_DDB0232428:2974418..2974577
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0305221_CDS_DDB0232428:2975758..2976306
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0305221_CDS_DDB0232428:2976380..2976570
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0305221_CDS_DDB0232428:2976667..2977120
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0305222_CDS_DDB0232428:2982677..2982680
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0305222_CDS_DDB0232428:2982128..2982470
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0233369_CDS_DDB0232428:2983179..2985963
[11657] [05-09-2012 16:33:09]:	going to write exon:   _DDB0233369_CDS_DDB0232428:2986054..2987875
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0307277_CDS_DDB0232428:642852..644069
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0307277_CDS_DDB0232428:644140..644821
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0307277_CDS_DDB0232428:644922..658167
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0307277_CDS_DDB0232428:658243..658436
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0307277_CDS_DDB0232428:658522..659065
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0304567_CDS_DDB0232428:664605..666459
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0304567_CDS_DDB0232428:664272..664530
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0304567_CDS_DDB0232428:663019..664270
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0216547_CDS_DDB0189305:729155..729169
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0216547_CDS_DDB0189305:729744..730646
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0216547_CDS_DDB0189305:730888..734676
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0238162_CDS_DDB0232428:4216279..4216381
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0238162_CDS_DDB0232428:4216563..4216860
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0238162_CDS_DDB0232428:4216982..4218034
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0238162_CDS_DDB0232428:4218210..4219039
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0230120_CDS_DDB0189305:4231343..4232669
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0230120_CDS_DDB0189305:4230648..4231251
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0201974_CDS_DDB0189305:4346508..4346516
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0201974_CDS_DDB0189305:4346861..4346865
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0201974_CDS_DDB0189305:4346913..4346952
[11657] [05-09-2012 16:33:10]:	going to write exon:   _DDB0201974_CDS_DDB0189305:4347184..4347277
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0233506_CDS_DDB0232428:4356678..4357135
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0233506_CDS_DDB0232428:4357222..4358223
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0304715_CDS_DDB0232428:4392159..4392367
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0304715_CDS_DDB0232428:4392499..4392523
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0304715_CDS_DDB0232428:4392644..4392814
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0304715_CDS_DDB0232428:4392916..4393069
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0307463_exon_DDB0232428:4553090..4553462
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0307463_exon_DDB0232428:4552977..4552986
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0307464_exon_DDB0232428:4558266..4558444
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0307464_exon_DDB0232428:4558545..4561757
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0232309_CDS_DDB0189305:2685260..2685410
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0232309_CDS_DDB0189305:2684854..2685133
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0237609_CDS_DDB0232428:2699016..2699133
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0237609_CDS_DDB0232428:2699210..2699967
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0237609_CDS_DDB0232428:2700084..2700122
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0190233_CDS_DDB0189305:2703239..2703320
[11657] [05-09-2012 16:33:11]:	going to write exon:   _DDB0190233_CDS_DDB0189305:2701210..2701330
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0307416_exon_DDB0232428:2708680..2709448
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0238638_CDS_DDB0232428:2336356..2336519
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0238638_CDS_DDB0232428:2336666..2337109
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0229397_CDS_DDB0189305:2722521..2722883
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0229397_CDS_DDB0189305:2723031..2723452
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0231559_CDS_DDB0189305:340232..340235
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0231559_CDS_DDB0189305:339979..340148
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0231559_CDS_DDB0189305:339356..339837
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0231559_CDS_DDB0189305:337390..339272
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0233841_CDS_DDB0232428:355158..357213
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0306491_exon_DDB0232428:360902..360995
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0306491_exon_DDB0232428:360432..360813
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0306491_exon_DDB0232428:360186..360318
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0306491_exon_DDB0232428:358931..360110
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0308315_exon_DDB0232428:361795..362932
[11657] [05-09-2012 16:33:12]:	going to write exon:   _DDB0308315_exon_DDB0232428:361554..361707
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0305244_CDS_DDB0232428:365941..366248
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0305244_CDS_DDB0232428:366376..366747
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0308316_exon_DDB0232428:366935..367100
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0308316_exon_DDB0232428:367258..367540
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0308317_exon_DDB0232428:368154..368388
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0308317_exon_DDB0232428:368459..368696
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0308317_exon_DDB0232428:368822..368942
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0308318_exon_DDB0232428:369406..369637
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0308318_exon_DDB0232428:369728..369950
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0308318_exon_DDB0232428:370064..370211
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0306492_exon_DDB0232428:371017..371234
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0306492_exon_DDB0232428:371490..371691
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0306492_exon_DDB0232428:371860..372169
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0306492_exon_DDB0232428:372266..373018
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0267093_CDS_DDB0232428:373252..374947
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0308321_exon_DDB0232428:375347..376736
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0235160_CDS_DDB0232428:2080757..2080930
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0235160_CDS_DDB0232428:2081182..2081404
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0235160_CDS_DDB0232428:2081710..2081809
[11657] [05-09-2012 16:33:13]:	going to write exon:   _DDB0235160_CDS_DDB0232428:2081907..2081980
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0231613_CDS_DDB0189305:2088333..2088587
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0231613_CDS_DDB0189305:2088676..2089135
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0231613_CDS_DDB0189305:2089231..2091758
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0216606_CDS_DDB0189305:1787452..1789797
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0238330_CDS_DDB0232428:1816265..1816778
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0307286_CDS_DDB0232428:3049821..3051393
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0233569_CDS_DDB0232428:3052730..3052746
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0233569_CDS_DDB0232428:3051828..3052475
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0306575_exon_DDB0232428:3064048..3065362
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0307420_exon_DDB0232428:3066209..3069104
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0306576_exon_DDB0232428:3072946..3073192
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0306576_exon_DDB0232428:3073291..3074455
[11657] [05-09-2012 16:33:14]:	going to write exon:   _DDB0306578_exon_DDB0232428:3083993..3085319
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0233903_CDS_DDB0232428:730240..731113
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0189504_CDS_DDB0189305:728139..728823
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0189505_CDS_DDB0189305:728989..729127
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0349106_exon_DDB0232428:746952..749568
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0216564_CDS_DDB0189305:1084741..1084761
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0216564_CDS_DDB0189305:1084874..1085049
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0216564_CDS_DDB0189305:1085125..1085146
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0231980_CDS_DDB0189305:1086085..1086609
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0231980_CDS_DDB0189305:1085232..1086022
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0346712_exon_DDB0232428:1096873..1096937
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0346712_exon_DDB0232428:1095712..1096746
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0191104_CDS_DDB0189305:3932429..3932562
[11657] [05-09-2012 16:33:15]:	going to write exon:   _DDB0191104_CDS_DDB0189305:3933057..3933287
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0231181_CDS_DDB0189305:3171765..3176451
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0347851_exon_DDB0232428:4567594..4567607
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0347851_exon_DDB0232428:4567698..4567904
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0347296_exon_DDB0232428:2528119..2528497
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0347296_exon_DDB0232428:2527523..2528018
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0347296_exon_DDB0232428:2525980..2527462
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0347296_exon_DDB0232428:2525861..2525903
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0216647_CDS_DDB0189305:2554489..2555435
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0216647_CDS_DDB0189305:2555785..2555817
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0305355_CDS_DDB0232428:2582240..2582858
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0305355_CDS_DDB0232428:2581653..2582100
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0304594_CDS_DDB0232428:2591242..2591453
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0304594_CDS_DDB0232428:2591629..2591797
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0304594_CDS_DDB0232428:2591882..2593999
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0305157_CDS_DDB0232428:2676040..2677561
[11657] [05-09-2012 16:33:16]:	going to write exon:   _DDB0216651_CDS_DDB0189305:2687209..2690353
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0346803_exon_DDB0232428:4089971..4090725
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0346803_exon_DDB0232428:4090727..4091569
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0346803_exon_DDB0232428:4091689..4092037
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0346807_exon_DDB0232428:4112717..4117547
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0216736_CDS_DDB0189305:4114545..4117689
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0216737_CDS_DDB0189305:4117979..4119314
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0267095_CDS_DDB0232428:4138890..4138948
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0267095_CDS_DDB0232428:4139060..4141933
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0216740_CDS_DDB0189305:4153997..4154132
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0216740_CDS_DDB0189305:4153245..4153959
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0216741_CDS_DDB0189305:4156088..4156140
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0216741_CDS_DDB0189305:4157610..4157899
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0216741_CDS_DDB0189305:4159379..4159413
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0347556_exon_DDB0232428:4263563..4263758
[11657] [05-09-2012 16:33:17]:	going to write exon:   _DDB0307677_CDS_DDB0232428:2101680..2102093
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0307677_CDS_DDB0232428:2101219..2101463
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0307677_CDS_DDB0232428:2100376..2101116
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0307677_CDS_DDB0232428:2100060..2100268
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0307677_CDS_DDB0232428:2099730..2099961
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0305278_CDS_DDB0232428:411511..412435
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0308322_exon_DDB0232428:421218..421374
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0308322_exon_DDB0232428:420107..421031
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0232946_CDS_DDB0232428:1728956..1732034
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0308356_exon_DDB0232428:1732576..1733416
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0306536_exon_DDB0232428:1733948..1735538
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0307347_exon_DDB0232428:1755253..1755359
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0307347_exon_DDB0232428:1754913..1755131
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0189891_CDS_DDB0189305:1754374..1754431
[11657] [05-09-2012 16:33:18]:	going to write exon:   _DDB0189891_CDS_DDB0189305:1753903..1753955
